location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Spain,ESP,04/01/2021,82834,82834,,,,,0.18,0.18,,,,,
Spain,ESP,05/01/2021,139339,139339,,,56505,56505,0.3,0.3,,,1209,56505,0.121
Spain,ESP,06/01/2021,,,,,,45248,,,,,968,45248,0.097
Spain,ESP,07/01/2021,207323,207323,,,,41496,0.44,0.44,,,888,41496,0.089
Spain,ESP,08/01/2021,277976,277976,,,70653,48786,0.59,0.59,,,1044,48786,0.104
Spain,ESP,09/01/2021,,,,,,47569,,,,,1018,47569,0.102
Spain,ESP,10/01/2021,,,,,,46759,,,,,1000,46759,0.1
Spain,ESP,11/01/2021,406091,406091,,,,46180,0.87,0.87,,,988,46180,0.099
Spain,ESP,12/01/2021,488122,488122,,,82031,49826,1.04,1.04,,,1066,49826,0.107
Spain,ESP,13/01/2021,581638,581638,,,93516,58330,1.24,1.24,,,1248,58330,0.125
Spain,ESP,14/01/2021,676186,676186,,,94548,66980,1.45,1.45,,,1433,66980,0.143
Spain,ESP,15/01/2021,768950,768950,,,92764,70139,1.64,1.64,,,1500,70139,0.15
Spain,ESP,16/01/2021,,,,,,70181,,,,,1501,70071,0.15
Spain,ESP,17/01/2021,,,,,,70223,,,,,1502,70002,0.15
Spain,ESP,18/01/2021,897942,895627,2315,,,70264,1.92,1.92,0,,1503,69934,0.15
Spain,ESP,19/01/2021,966097,956756,9341,,68155,68282,2.07,2.05,0.02,,1461,66948,0.143
Spain,ESP,20/01/2021,1025937,1010295,15642,,59840,63471,2.19,2.16,0.03,,1358,61237,0.131
Spain,ESP,21/01/2021,1103301,1054245,49056,,77364,61016,2.36,2.26,0.1,,1305,54008,0.116
Spain,ESP,22/01/2021,1165825,1097369,68456,,62524,56696,2.49,2.35,0.15,,1213,46917,0.1
Spain,ESP,23/01/2021,,,,,,55680,,,,,1191,44565,0.095
Spain,ESP,24/01/2021,1237593,1148895,88698,,,54664,2.65,2.46,0.19,,1169,42213,0.09
Spain,ESP,25/01/2021,1291216,1167519,123697,,53623,56182,2.76,2.5,0.26,,1202,38842,0.083
Spain,ESP,26/01/2021,1356461,1183395,173066,,65245,55766,2.9,2.53,0.37,,1193,32377,0.069
Spain,ESP,27/01/2021,1395618,1202859,192759,,39157,52812,2.99,2.57,0.41,,1130,27509,0.059
Spain,ESP,28/01/2021,1474189,1222323,251866,,78571,52984,3.15,2.61,0.54,,1133,24011,0.051
Spain,ESP,29/01/2021,,,,,,50484,,,,,1080,19234,0.041
Spain,ESP,30/01/2021,,,,,,51790,,,,,1108,16936,0.036
Spain,ESP,31/01/2021,1609261,1251369,357892,,,53095,3.44,2.68,0.77,,1136,14639,0.031
Spain,ESP,01/02/2021,1673054,1254535,418519,,63793,54548,3.58,2.68,0.9,,1167,12431,0.027
Spain,ESP,02/02/2021,1764778,1265800,498978,,91724,58331,3.78,2.71,1.07,,1248,11772,0.025
Spain,ESP,03/02/2021,1865342,1279220,586122,,100564,67103,3.99,2.74,1.25,,1436,10909,0.023
Spain,ESP,04/02/2021,1988160,1305251,682909,,122818,73424,4.25,2.79,1.46,,1571,11847,0.025
Spain,ESP,05/02/2021,,,,,,72558,,,,,1552,11101,0.024
Spain,ESP,06/02/2021,,,,,,71691,,,,,1534,10354,0.022
Spain,ESP,07/02/2021,2105033,1318626,786407,,,70825,4.5,2.82,1.68,,1515,9608,0.021
Spain,ESP,08/02/2021,2167241,1328459,838782,,62208,70598,4.64,2.84,1.79,,1510,10561,0.023
Spain,ESP,09/02/2021,2233249,1343566,889683,,66008,66924,4.78,2.87,1.9,,1432,11109,0.024
Spain,ESP,10/02/2021,2320507,1377229,943278,,87258,65024,4.96,2.95,2.02,,1391,14001,0.03
Spain,ESP,11/02/2021,2423045,1422560,1000485,,102538,62126,5.18,3.04,2.14,,1329,16758,0.036
Spain,ESP,12/02/2021,,,,,,63159,,,,,1351,19405,0.042
Spain,ESP,13/02/2021,,,,,,64192,,,,,1373,22052,0.047
Spain,ESP,14/02/2021,2561608,1491517,1070091,,,65225,5.48,3.19,2.29,,1395,24699,0.053
Spain,ESP,15/02/2021,2624512,1527590,1096922,,62904,65324,5.61,3.27,2.35,,1397,28447,0.061
Spain,ESP,16/02/2021,2690457,1571277,1119180,,65945,65315,5.76,3.36,2.39,,1397,32530,0.07
Spain,ESP,17/02/2021,2782751,1638195,1144556,,92294,66035,5.95,3.5,2.45,,1413,37281,0.08
Spain,ESP,18/02/2021,2936011,1764985,1171026,,153260,73281,6.28,3.78,2.51,,1568,48918,0.105
Spain,ESP,19/02/2021,,,,,,74032,,,,,1584,51744,0.111
Spain,ESP,20/02/2021,,,,,,74783,,,,,1600,54570,0.117
Spain,ESP,21/02/2021,3090351,1893290,1197061,,,75535,6.61,4.05,2.56,,1616,57396,0.123
Spain,ESP,22/02/2021,3165191,1956886,1208305,,74840,77240,6.77,4.19,2.58,,1652,61328,0.131
Spain,ESP,23/02/2021,3284678,2063495,1221183,,119487,84889,7.03,4.41,2.61,,1816,70317,0.15
Spain,ESP,24/02/2021,3436158,2204376,1231782,,151480,93344,7.35,4.72,2.64,,1997,80883,0.173
Spain,ESP,25/02/2021,3605635,2361852,1243783,,169477,95661,7.71,5.05,2.66,,2046,85267,0.182
